HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,Outcome
Morocco,Iran,2018,0,1,1,AwayTeam Win
Portugal,Spain,2018,3,3,6,Draw
Portugal,Morocco,2018,1,0,1,HomeTeam Win
Iran,Spain,2018,0,1,1,AwayTeam Win
Iran,Portugal,2018,1,1,2,Draw
Spain,Morocco,2018,2,2,4,Draw
France,Australia,2018,2,1,3,HomeTeam Win
Peru,Denmark,2018,0,1,1,AwayTeam Win
Denmark,Australia,2018,1,1,2,Draw
France,Peru,2018,1,0,1,HomeTeam Win
Denmark,France,2018,0,0,0,Draw
Australia,Peru,2018,0,2,2,AwayTeam Win
Argentina,Iceland,2018,1,1,2,Draw
Croatia,Nigeria,2018,2,0,2,HomeTeam Win
Argentina,Croatia,2018,0,3,3,AwayTeam Win
Nigeria,Iceland,2018,2,0,2,HomeTeam Win
Nigeria,Argentina,2018,1,2,3,AwayTeam Win
Iceland,Croatia,2018,1,2,3,AwayTeam Win
Costa Rica,Serbia,2018,0,1,1,AwayTeam Win
Brazil,Switzerland,2018,1,1,2,Draw
Brazil,Costa Rica,2018,2,0,2,HomeTeam Win
Serbia,Switzerland,2018,1,2,3,AwayTeam Win
Serbia,Brazil,2018,0,2,2,AwayTeam Win
Switzerland,Costa Rica,2018,2,2,4,Draw
Germany,Mexico,2018,0,1,1,AwayTeam Win
Sweden,South Korea,2018,1,0,1,HomeTeam Win
South Korea,Mexico,2018,1,2,3,AwayTeam Win
Germany,Sweden,2018,2,1,3,HomeTeam Win
South Korea,Germany,2018,2,0,2,HomeTeam Win
Mexico,Sweden,2018,0,3,3,AwayTeam Win
Belgium,Panama,2018,3,0,3,HomeTeam Win
Tunisia,England,2018,1,2,3,AwayTeam Win
Belgium,Tunisia,2018,5,2,7,HomeTeam Win
England,Panama,2018,6,1,7,HomeTeam Win
England,Belgium,2018,0,1,1,AwayTeam Win
Panama,Tunisia,2018,1,2,3,AwayTeam Win
Colombia,Japan,2018,1,2,3,AwayTeam Win
Poland,Senegal,2018,1,2,3,AwayTeam Win
Japan,Senegal,2018,2,2,4,Draw
Poland,Colombia,2018,0,3,3,AwayTeam Win
Japan,Poland,2018,0,1,1,AwayTeam Win
Senegal,Colombia,2018,0,1,1,AwayTeam Win
France,Argentina,2018,4,3,7,HomeTeam Win
Uruguay,Portugal,2018,2,1,3,HomeTeam Win
Spain,Russia,2018,1,1,2,Draw
Croatia,Denmark,2018,1,1,2,Draw
Brazil,Mexico,2018,2,0,2,HomeTeam Win
Belgium,Japan,2018,3,2,5,HomeTeam Win
Sweden,Switzerland,2018,1,0,1,HomeTeam Win
Colombia,England,2018,1,1,2,Draw
Uruguay,France,2018,0,2,2,AwayTeam Win
Brazil,Belgium,2018,1,2,3,AwayTeam Win
Sweden,England,2018,0,2,2,AwayTeam Win
Russia,Croatia,2018,2,2,4,Draw
France,Belgium,2018,1,0,1,HomeTeam Win
Croatia,England,2018,2,1,3,HomeTeam Win
Belgium,England,2018,2,0,2,HomeTeam Win
France,Croatia,2018,4,2,6,HomeTeam Win
Qatar,Ecuador,2022,0,2,2,AwayTeam Win
Senegal,Netherlands,2022,0,2,2,AwayTeam Win
Qatar,Senegal,2022,1,3,4,AwayTeam Win
Netherlands,Ecuador,2022,1,1,2,Draw
Ecuador,Senegal,2022,1,2,3,AwayTeam Win
Netherlands,Qatar,2022,2,0,2,HomeTeam Win
England,Iran,2022,6,2,8,HomeTeam Win
United States,Wales,2022,1,1,2,Draw
Wales,Iran,2022,0,2,2,AwayTeam Win
England,United States,2022,0,0,0,Draw
Wales,England,2022,0,3,3,AwayTeam Win
Iran,United States,2022,0,1,1,AwayTeam Win
Argentina,Saudi Arabia,2022,1,2,3,AwayTeam Win
Mexico,Poland,2022,0,0,0,Draw
Poland,Saudi Arabia,2022,2,0,2,HomeTeam Win
Argentina,Mexico,2022,2,0,2,HomeTeam Win
Poland,Argentina,2022,0,2,2,AwayTeam Win
Saudi Arabia,Mexico,2022,1,2,3,AwayTeam Win
Denmark,Tunisia,2022,0,0,0,Draw
France,Australia,2022,4,1,5,HomeTeam Win
Tunisia,Australia,2022,0,1,1,AwayTeam Win
France,Denmark,2022,2,1,3,HomeTeam Win
Australia,Denmark,2022,1,0,1,HomeTeam Win
Tunisia,France,2022,1,0,1,HomeTeam Win
Germany,Japan,2022,1,2,3,AwayTeam Win
Spain,Costa Rica,2022,7,0,7,HomeTeam Win
Japan,Costa Rica,2022,0,1,1,AwayTeam Win
Spain,Germany,2022,1,1,2,Draw
Japan,Spain,2022,2,1,3,HomeTeam Win
Costa Rica,Germany,2022,2,4,6,AwayTeam Win
Morocco,Croatia,2022,0,0,0,Draw
Belgium,Canada,2022,1,0,1,HomeTeam Win
Belgium,Morocco,2022,0,2,2,AwayTeam Win
Croatia,Canada,2022,4,1,5,HomeTeam Win
Croatia,Belgium,2022,0,0,0,Draw
Canada,Morocco,2022,1,2,3,AwayTeam Win
Switzerland,Cameroon,2022,1,0,1,HomeTeam Win
Brazil,Serbia,2022,2,0,2,HomeTeam Win
Cameroon,Serbia,2022,3,3,6,Draw
Brazil,Switzerland,2022,1,0,1,HomeTeam Win
Serbia,Switzerland,2022,2,3,5,AwayTeam Win
Cameroon,Brazil,2022,1,0,1,HomeTeam Win
Uruguay,South Korea,2022,0,0,0,Draw
Portugal,Ghana,2022,3,2,5,HomeTeam Win
South Korea,Ghana,2022,2,3,5,AwayTeam Win
Portugal,Uruguay,2022,2,0,2,HomeTeam Win
Ghana,Uruguay,2022,0,2,2,AwayTeam Win
South Korea,Portugal,2022,2,1,3,HomeTeam Win
Netherlands,United States,2022,3,1,4,HomeTeam Win
Argentina,Australia,2022,2,1,3,HomeTeam Win
France,Poland,2022,3,1,4,HomeTeam Win
England,Senegal,2022,3,0,3,HomeTeam Win
Japan,Croatia,2022,1,1,2,Draw
Brazil,South Korea,2022,4,1,5,HomeTeam Win
Morocco,Spain,2022,0,0,0,Draw
Portugal,Switzerland,2022,6,1,7,HomeTeam Win
Croatia,Brazil,2022,1,1,2,Draw
Netherlands,Argentina,2022,2,2,4,Draw
Morocco,Portugal,2022,1,0,1,HomeTeam Win
England,France,2022,1,2,3,AwayTeam Win
Argentina,Croatia,2022,3,0,3,HomeTeam Win
France,Morocco,2022,2,0,2,HomeTeam Win
Croatia,Morocco,2022,2,1,3,HomeTeam Win
Argentina,France,2022,3,3,6,Draw
